Chr	Start	End	Tags	length-ATAC-union	CoefOfVar_(SD/Mean)_ATAC_union	CoefOfVar_K27_500-600bp_union	Drop_(Max-Min/Max)_K27_500-600bp_union	CoefOfVar_Q1Q3_(SD/Mean)_ATAC_union	CoefOfVar_Q1Q3_K27_500-600_union	Min_ATAC_union	Max_ATAC_union	TotalN_ATAC_peaks_called	CoefOfVar_K27_500bp_union	CoefOfVar_K27_500-300bp_union	CoefOfVar_Q1Q3_K27_500_union	CoefOfVar_Q1Q3_K27_500-300_union	Drop_(Max-Min/Max)_K27_500bp_union	Drop_(Max-Min/Max)_K27_500-300bp_union	Max_K27_500-300bp_union	Max_K27_500bp_union	Max_K27_500-600bp_union	Mean_K27_500bp_union	Mean_K27_500-300bp_union	Mean_K27_500-600bp_union	Min_K27_500-300bp_union	Min_K27_500-600bp_union	Min_K27_500bp_union	SD_K27_500-300bp_union	SD_K27_500-600bp_union	SD_K27_500bp_union	Mean_ATAC_union	Max-Mean_ATAC_union	SD_ATAC_union	start-500	end-500	start-500-300	end-500-300	start-500-600	end-500-600	Mean/SD_K27_500-600bp
chr8	128176582	128177540		958	0.4485303007	1.20094863	0.9885412162	0.5118614334	1.221158716	0.671362	4.43407	47	1.2170320723	1.2144264371	1.2330962296	1.2334328594	0.9924694145	0.9901209208	960.870759	800.481344	997.714585	145.806754644	175.139276304	182.312969878	9.4925183	11.4325957	6.0280932	212.6937673154	218.9485114005	177.4514967598	2.12434238	2.30972762	0.9528319264	128176561	128177561	128176261	128177861	128175961	128178161	0.8326750829
chr16	54928788	54929661		873	0.295488653	0.6735229765	0.9884202936	0.3503938173	0.7312771372	2.7151	14.6821	50	0.6156995073	0.6687765946	0.6781779009	0.7278633913	0.9839851064	0.9893710518	877.3388428	408.7544288	951.9657273	136.860886102	236.59640718	254.152586994	9.3251891	11.0234836	6.5461587	158.2301394948	171.1776068696	84.2651801389	7.9674678	6.7146322	2.3542963283	54928724	54929724	54928424	54930024	54928124	54930324	1.4847303432
chr6	145844743	145845689		946	0.4358067434	0.8549121544	0.9884019836	0.5055350104	0.9066614011	0.566927	5.91967	48	0.8701062969	0.8664400855	0.9219646865	0.9161106899	0.9902946959	0.9896660222	303.374593	262.727935	317.1643484	49.682292848	56.986668108	60.170970074	3.1350663	3.6784773	2.5498545	49.3755335856	51.44089366	43.2288758534	2.70323614	3.21643386	1.1780885388	145844716	145845716	145844416	145846016	145844116	145846316	1.1697108233
chr11	3580742	3581672		930	0.3659164836	1.1295799906	0.9884005495	0.4307034195	1.1702848042	0.527143	3.07689	44	1.0319252774	1.0909090713	1.0785462766	1.1355915962	0.9870057984	0.987648331	2642.996418	2189.831306	2926.409074	342.137591404	381.402494984	402.628635944	32.6454169	33.9447372	28.4551095	416.0754415818	454.8012507912	353.0604289048	1.4342579	1.6426321	0.5248186073	3580707	3581707	3580407	3582007	3580107	3582307	0.8852848035
chr2	71453207	71454194		987	0.4200178226	0.8634217856	0.9879996756	0.4897821437	0.9486397535	0.525898	3.02539	40	0.8905429618	0.881750592	0.9696834297	0.9649967584	0.9903896993	0.9876751861	242.6582278	191.507191	272.2246502	38.421375542	48.437241208	54.278486008	2.9907175	3.2667841	1.8404417	42.7095661111	46.8652273113	34.2158855723	1.45902194	1.56636806	0.6128152183	71453200	71454200	71452900	71454500	71452600	71454800	1.1581824974
chr7	116210871	116211822		951	0.4114103707	1.4281518485	0.9879343708	0.4723039221	1.3495284692	0.867842	6.13601	50	1.4481750124	1.4370969843	1.3703547267	1.3560143983	0.9881229482	0.9886418913	804.907182	636.047013	849.430453	76.10924922	96.854201524	102.569703086	9.1422233	10.2489129	7.5543633	139.1888809266	146.4851110663	110.219512931	2.80368744	3.33232256	1.1534660889	116210846	116211846	116210546	116212146	116210246	116212446	0.7002056546
chr2	20693078	20693991		913	0.380723965	1.0285874883	0.9877656607	0.4336532386	1.0456684374	0.513668	3.23845	43	1.0092649492	1.034749962	1.0344233012	1.0517576984	0.9878083193	0.9882828263	1777.516812	1266.554753	1828.414664	260.437650496	351.042989066	366.906678572	20.8274732	22.3694453	15.4414312	363.2417196087	377.3956189687	262.8505921051	1.7503343	1.4881157	0.6663942148	20693034	20694034	20692734	20694334	20692434	20694634	0.9722070425
chr2	208571349	208572395		1046	0.426725956	0.9835654274	0.9875481685	0.5176143209	1.0403573079	0.711086	5.41245	48	0.9233135479	0.9622580295	0.9793275577	1.0221041074	0.9879322387	0.9879036648	1586.903368	896.638968	1880.16231	157.820400206	268.350641318	310.017232584	19.195715	23.4114643	10.820425	258.2225593168	304.922231871	145.7177136382	3.14935614	2.26309386	1.3439120096	208571372	208572372	208571072	208572672	208570772	208572972	1.0167091808
chr1	182235915	182236868		953	0.3146332771	0.9954434478	0.9874570199	0.371753185	1.0786589662	2.64566	10.7761	50	0.9769723062	0.9959863527	1.0639616194	1.0811072643	0.989009776	0.9873263713	2714.385987	2168.54808	2816.97647	366.393413012	446.2914233	464.618128276	34.4011201	35.3332798	23.8328292	444.5001669398	462.501071507	357.9562176723	5.540472	5.235628	1.7432168623	182235892	182236892	182235592	182237192	182235292	182237492	1.0045774094
chr20	5488500	5489492		992	0.3846867305	1.0300310269	0.9873987501	0.4467019181	1.0393250091	0.57033	3.75458	46	1.0192229685	1.0350746264	1.0318917604	1.0425996556	0.9894626123	0.9888470612	1324.25271	848.988027	1470.188184	180.057078162	270.89154441	303.581228304	14.7693094	18.5262087	8.946116	280.3929641226	312.69808433	183.5183097023	1.71609772	2.03848228	0.6601600211	5488496	5489496	5488196	5489796	5487896	5490096	0.9708445415
chr4	81807871	81808836		965	0.3824859816	0.8213092822	0.9873847907	0.4408593226	0.9137513539	0.736985	3.12069	47	0.858182032	0.8543409745	0.9429993252	0.9416140848	0.9958399892	0.9919477623	653.184368	558.184748	694.136006	106.274755836	123.063009428	134.423564244	5.2595958	8.756671	2.3220546	105.1377714046	110.4033210552	91.2030859095	1.6978956	1.4227944	0.6494212653	81807854	81808854	81807554	81809154	81807254	81809454	1.2175681217
chr3	171158940	171159842		902	0.4798131762	1.1471274586	0.9871840431	0.5388074709	1.1627221574	0.562589	5.55873	50	1.1182103927	1.1316322873	1.1378512666	1.1465381079	0.9862397582	0.9870083585	2675.79849	1953.80717	3041.329827	294.47328643	390.19716591	430.91312017	34.7630146	38.9775521	26.884859	441.5597113449	494.3122723997	329.2830892709	1.9810947	3.5776353	0.9505553404	171158891	171159891	171158591	171160191	171158291	171160491	0.8717427105
chr12	26845860	26846744		884	0.4050418361	1.113598576	0.9869020852	0.4883747256	1.0959777675	0.859287	5.54492	48	1.2115575794	1.1513427478	1.1839317982	1.125775549	0.9879929557	0.9865240772	184.3730208	157.11218	193.2069148	23.120415484	28.70941482	31.052424874	2.4845966	2.5306077	1.8864529	33.0543765454	34.5799361206	28.0117146182	2.51001356	3.03490644	1.016660501	26845802	26846802	26845502	26847102	26845202	26847402	0.8979896541
chr13	106569969	106570963		994	0.5323084886	0.9781577052	0.9868605793	0.6226165602	1.0257192323	0.559952	6.43303	44	1.0258054684	1.0099297137	1.0467436278	1.0508421867	0.9883782701	0.9907523105	420.2501402	276.394404	462.4559739	48.421111272	73.911614322	84.470773546	3.8863428	6.0764036	3.2121811	74.645535494	82.6257380099	49.6706407296	2.47070428	3.96232572	1.315176861	106569966	106570966	106569666	106571266	106569366	106571566	1.022330034
chr9	27529182	27530136		954	0.2826617126	0.9857525399	0.9867712079	0.3381585576	0.9854576348	0.679143	2.74476	46	1.0339115488	0.9998709167	1.0354752465	1.0100097523	0.9834125052	0.9856588233	129.8860293	97.8995575	158.8602109	22.50461916	31.397786758	39.841424966	1.8627185	2.1015287	1.6239084	31.3937338266	39.2737858516	23.2677856503	1.54117574	1.20358426	0.4356313741	27529159	27530159	27528859	27530459	27528559	27530759	1.0144533842
chr12	41512313	41513192		879	0.5788847308	1.0560051239	0.9865570412	0.6317839432	1.0277469453	0.648688	8.87446	47	1.1056332543	1.0700259431	1.067860925	1.0372480063	0.9922835012	0.9896034151	560.874696	501.769675	570.8442176	106.728801452	125.377951718	130.271928844	5.8311814	7.6738353	3.8719051	134.1576610324	137.5678243549	118.0029120818	2.32616896	6.54829104	1.3465836923	41512252	41513252	41511952	41513552	41511652	41513852	0.9469651022
chr3	186938462	186939349		887	0.4147009744	0.9117682087	0.9864903788	0.48289302	0.9713101865	1.84676	12.5655	50	0.904504003	0.9095248462	0.9651349947	0.9697697333	0.9879022557	0.9873775203	1258.872379	1024.47664	1356.153439	244.551815402	319.92203253	349.238829834	15.8900911	18.3211193	12.3938564	290.9770374188	318.4248622969	221.1980959612	6.0645898	6.5009102	2.5149912997	186938406	186939406	186938106	186939706	186937806	186940006	1.0967699799
chr4	89299207	89300127		920	0.4224267211	0.9851787023	0.9863458281	0.4992865661	1.0419918459	1.32318	10.4472	50	1.1122431682	1.0155553201	1.154206994	1.0701395704	0.9938478195	0.9887058904	622.82383	502.22049	635.1429718	75.745565254	104.596564582	110.41315673	7.0342406	8.6723513	3.0897511	106.2235976218	108.7766904595	84.2474874729	5.1097106	5.3374894	2.1584782945	89299167	89300167	89298867	89300467	89298567	89300767	1.0150442734
chr5	177760749	177761712		963	0.4421572745	0.7881667537	0.9862107972	0.504975303	0.8329430982	0.621549	2.76973	40	0.8026756948	0.7926157733	0.8459938634	0.8334132804	0.9865251829	0.9876209915	520.855162	414.222	558.3145223	109.772583834	139.290482776	150.129964978	6.4476705	7.6987122	5.5815657	110.4038337247	118.3274471263	88.1117850009	1.43126122	1.33846878	0.6328425601	177760730	177761730	177760430	177762030	177760130	177762330	1.2687670412
chr4	174654352	174655299		947	0.5265474297	0.7658804959	0.9861304488	0.5833467851	0.8284739133	0.522365	4.87608	42	0.8067481462	0.7806919787	0.8630358719	0.8439000559	0.9905505096	0.9884809903	335.255044	283.861328	348.8472502	74.079879514	93.69037075	99.813360192	3.8618061	4.8383548	2.6823449	73.1433209245	76.4451058059	59.763805465	1.64226866	3.23381134	0.8647323418	174654326	174655326	174654026	174655626	174653726	174655926	1.3056867296
chr5	10289150	10289862		712	0.3525947095	0.9855671382	0.9861267077	0.4203659654	1.0513388913	0.843883	4.37489	48	0.9688446027	0.9701938844	1.0369072397	1.0340060137	0.9882134286	0.9867708423	5394.77539	3959.16549	6261.482615	629.498799016	865.419924294	977.696655522	71.3683346	86.8673784	46.6649868	839.6251180104	963.5856947804	609.8865138435	2.38787858	1.98701142	0.8419533543	10289006	10290006	10288706	10290306	10288406	10290606	1.0146442198
chr6	167826191	167827174		983	0.375551865	1.4547329339	0.9860892559	0.4384589015	1.5193120491	0.906701	5.66729	50	1.4557295739	1.5201853785	1.5169784729	1.5784437089	0.9892012782	0.9868711197	68.7356562	52.8673868	74.239882	6.71866765	7.931966824	8.73950267	0.9024222	1.032732	0.5709002	12.0580599887	12.7136423601	9.7805631952	3.0562859	2.6110041	1.1477938696	167826182	167827182	167825882	167827482	167825582	167827782	0.6874113981
chr2	15763971	15764900		929	0.4701684432	1.0626280046	0.9860705857	0.550710296	1.1355730558	0.577153	5.34144	46	1.0283723958	1.0472543573	1.1010024058	1.1213879102	0.9877272148	0.9867172045	3371.188802	2512.050282	3763.233548	388.417248962	509.492364466	560.404162292	44.7788116	52.4196392	30.8298536	533.5680987146	595.5011567455	399.4375768938	2.09135154	3.25008846	0.9832874978	15763936	15764936	15763636	15765236	15763336	15765536	0.9410630961
chr2	231604390	231605264		874	0.3677897069	1.0793750377	0.9859977158	0.4257428666	1.0439808213	1.92363	8.67942	50	1.1858177968	1.1198218107	1.1217515257	1.0744575221	0.9880715615	0.9865351897	205.0279752	196.72004	207.0159446	31.217865754	33.974778116	35.475036028	2.7606628	2.8986961	2.3465629	38.0456975485	38.2908683507	37.0187007905	4.386811	4.292609	1.6134239317	231604327	231605327	231604027	231605627	231603727	231605927	0.9264620406
chr8	48433888	48434865		977	0.3964931344	1.1033576093	0.985968102	0.4729727274	1.1422677132	0.834785	5.71923	49	1.022756795	1.0804184244	1.0715665302	1.1233693729	0.98504928	0.9859157914	5120.52945	3833.61556	5468.735027	706.862591464	877.676196462	923.634856706	72.118605	76.7367323	57.315313	948.2575333297	1019.0995473604	722.9485185284	2.79728672	2.92194328	1.1091049795	48433876	48434876	48433576	48435176	48433276	48435476	0.9063244696
chr1	25279398	25280310		912	0.5502114579	1.1200020132	0.9858934477	0.6128779464	1.1650476135	0.880795	11.1011	49	1.0011038475	1.0738073721	1.0676725593	1.12896489	0.9750561442	0.982552785	19649.09663	11605.63033	26250.32603	1960.882594118	3148.707830484	4125.246452448	342.822014	370.3015972	289.489169	3381.1056808796	4620.2843318686	1963.0471095301	3.9891419	7.1119581	2.1948715805	25279354	25280354	25279054	25280654	25278754	25280954	0.8928555379
chr12	106268921	106269874		953	0.3372659064	1.0219341396	0.9857996073	0.3987049954	1.0569122663	1.53667	7.224	51	0.9485732952	1.013038979	0.9860146642	1.045653818	0.9819959533	0.9851152322	3808.05015	2769.84413	4085.772229	483.7069771	607.321248022	644.863784956	56.6819421	58.0195701	49.868403	615.2400969957	659.0083172655	458.8315211552	4.1543488	3.0696512	1.4011202135	106268898	106269898	106268598	106270198	106268298	106270498	0.9785366407
chr12	66919991	66920896		905	0.359283803	1.326044583	0.9856999843	0.4116367725	1.348943443	0.608145	3.91706	49	1.2585473487	1.2989750512	1.2971119077	1.3219587849	0.9885930453	0.9890200549	1356.623316	790.895099	1707.917301	97.609921142	162.415532984	200.110331246	14.8956495	24.4232442	9.0217046	210.9737252771	265.3552207581	122.8467074569	2.0325976	1.8844624	0.7302793956	66919944	66920944	66919644	66921244	66919344	66921544	0.7541224577
chr1	236096855	236097674		819	0.5358768908	1.4505076305	0.9856485395	0.6045384984	1.5219641969	0.733811	6.4404	43	1.4886643375	1.469271394	1.5550822709	1.5381709727	0.9874911761	0.986415858	478.7852276	478.5846894	478.9356312	45.076874532	45.656185686	46.197851226	6.5038865	6.8734258	5.9865316	67.0813275874	67.0103357161	67.1043355631	1.80278796	4.63761204	0.9660724068	236096764	236097764	236096464	236098064	236096164	236098364	0.6894138155
chr2	15758660	15759597		937	0.5220217325	1.0338177372	0.9854882726	0.6015919978	1.0909842444	0.574659	5.54492	44	1.0034941469	1.0393229337	1.0659262342	1.10049139	0.9845208	0.9861849647	2231.601584	1517.602264	2412.500502	250.947680692	350.485149082	385.467889776	30.8296547	35.0095496	23.491269	364.2672533791	398.5035415689	251.8245287607	1.84350934	3.70141066	0.9623519396	15758628	15759628	15758328	15759928	15758028	15760228	0.967288492
chr4	186191006	186191988		982	0.3549765023	0.5933309559	0.9853933709	0.4213877206	0.6791170853	0.924987	4.52751	50	0.6005151059	0.59690069	0.680732313	0.6829513026	0.9875437753	0.9855832191	1097.073048	836.60925	1153.652423	338.710972784	443.389081738	465.916694584	15.8162618	16.850973	10.4209928	264.6592488076	276.4427977546	203.4010556811	2.43319904	2.09431096	0.8637284846	186190997	186191997	186190697	186192297	186190397	186192597	1.6854000118
chr2	8597979	8599003		1024	0.4111119388	0.9685851678	0.9853290489	0.4699808923	0.9906574291	1.28893	6.94562	50	1.002850249	0.9820273702	1.0160101102	0.999610256	0.9873236789	0.9867265119	981.8043008	855.610771	1016.208176	175.458436214	206.43128969	215.958673814	13.0319677	14.9087405	10.8459969	202.7211765514	209.1743683075	175.9585364547	3.689439	3.256181	1.5167724204	8597991	8598991	8597691	8599291	8597391	8599591	1.0324337325
chr12	7302902	7303895		993	0.3863676373	1.5344846715	0.9853114265	0.4486664651	1.465829691	1.04434	6.37286	50	1.5136962144	1.5436886681	1.4420910088	1.4745641272	0.9896974833	0.9890553952	633.937336	450.364979	714.297295	52.207761498	75.94231978	86.113677056	6.9381936	10.4920083	4.6398927	117.2312984748	132.1401174531	79.0266909412	3.371977	3.000883	1.3028227866	7302898	7303898	7302598	7304198	7302298	7304498	0.6516845809
chr8	9150395	9151273		878	0.314270711	0.8269141224	0.9852576845	0.3787064538	0.8581929658	1.87122	9.632	50	0.7622650991	0.8015672261	0.811512827	0.8400172776	0.9801927421	0.9838679758	4301.93463	2987.16402	4772.023153	919.98158494	1303.563649312	1406.788496612	69.3989136	70.3506711	59.167528	1044.8938984109	1163.2932750888	701.2698540421	5.0294372	4.6025628	1.5806048048	9150334	9151334	9150034	9151634	9149734	9151934	1.2093154209
chr9	101840486	101841405		919	0.3854014222	0.8635016467	0.9851505726	0.4613563767	0.9400635529	2.58057	15.896	50	0.8348303619	0.8512665706	0.9066825356	0.9244434469	0.9845364721	0.984453087	4546.86683	2765.52603	5246.607744	569.393684	899.94082942	1010.70206869	70.689743	77.9091206	42.764789	766.0895435889	872.7429006003	475.347135303	7.7591652	8.1368348	2.990393303	101840446	101841446	101840146	101841746	101839846	101842046	1.1580753828
chr10	6920006	6920885		879	0.3692602243	0.5593884677	0.9849357201	0.4366313207	0.6386276979	0.733811	6.20009	50	0.5724165227	0.5629323028	0.6523475277	0.6422301063	0.9889179715	0.9838861461	3063.20552	1801.52182	3530.036697	759.401873264	1280.769355358	1499.184651496	49.3600462	53.1774609	19.9645162	720.9864425921	838.6266050418	434.6941796213	3.47997182	2.72011818	1.2850151747	6919946	6920946	6919646	6921246	6919346	6921546	1.7876664567
chr6	152301622	152302541		919	0.4031346933	0.761656181	0.9848206869	0.4742301259	0.8322365789	0.966185	13.2142	50	0.7681352828	0.7642216424	0.8381275291	0.8346376143	0.9846886449	0.9849466052	843.9752402	751.7716292	852.7067434	257.216954218	291.321236964	294.204705476	12.7046925	12.9435026	11.5106424	222.6339941857	224.0828323947	197.5774178739	5.3863247	7.8278753	2.1714143557	152301582	152302582	152301282	152302882	152300982	152303182	1.3129283593
chr1	119859376	119860297		921	0.3437572568	1.0642621123	0.9847354178	0.4086190573	1.1031243364	0.75093	4.04715	48	1.0935296476	1.0791280799	1.1350695335	1.1176899863	0.9878084011	0.98615391	844.908578	751.391176	872.9096108	118.104386878	136.284946628	142.363417168	11.6986802	13.3246005	9.1606598	147.0689127803	151.5119910753	129.150648568	2.06053996	1.98661004	0.7083255643	119859336	119860336	119859036	119860636	119858736	119860936	0.9396181527
chr9	61573065	61573999		934	0.3891954003	0.9490845065	0.984669366	0.4489383074	0.9565416921	0.62374	3.75458	37	0.9852328119	0.9633829418	0.9984344472	0.9721920604	0.9840381026	0.9840693404	45.3650834	39.239464	47.140627	8.086716428	9.837819528	10.299421378	0.7226957	0.7226957	0.6263363	9.4775875176	9.7750212553	7.9672983651	1.59305632	2.16152368	0.6200101921	61573032	61574032	61572732	61574332	61572432	61574632	1.0536469547
chr7	140223565	140224460		895	0.4812151915	1.0267867899	0.9846436253	0.5458553612	1.0582519049	0.882123	6.0951	47	1.0002129692	1.0157522964	1.0358428032	1.0483624268	0.9843039839	0.9845376939	5221.76224	4342.44489	5505.550979	677.39877102	798.876104074	829.823259434	80.740486	84.5453036	68.159085	811.4602372496	852.0515607319	677.5430360944	2.82814992	3.26695008	1.3609487054	140223512	140224512	140223212	140224812	140222912	140225112	0.9739120233
chr2	157181945	157182906		961	0.4571377444	1.1211764834	0.984599215	0.5266573937	1.1259739187	0.509924	3.71357	38	1.1455156654	1.1273914673	1.1485395341	1.1293058451	0.9891631855	0.9859271344	542.521574	445.538558	611.032261	83.807157926	111.430757578	126.416083618	7.6348332	9.4103765	4.8282187	125.6260852833	141.7347400763	96.0024122765	1.26384326	2.44972674	0.5777504572	157181926	157182926	157181626	157183226	157181326	157183526	0.8919202416
chr9	104991133	104992192		1059	0.3657412419	1.499122382	0.9844559215	0.423604677	1.5068280208	0.656442	2.89964	53	1.6547020685	1.5571604486	1.6217186203	1.5516104295	0.9921534062	0.9879773701	158.7596067	152.740289	162.7724864	17.08674888	18.878940476	20.096235866	1.908708	2.5301483	1.198491	29.3975394212	30.1267169798	28.273478716	1.5903821	1.3092579	0.5816683243	104991162	104992162	104990862	104992462	104990562	104992762	0.6670569475
chr6	166950920	166951862		942	0.3845268943	1.2711147697	0.9844482372	0.4490064523	1.2505122429	0.673549	4.816	47	1.3274274788	1.3097328441	1.2974578513	1.2841791356	0.9901129878	0.9880129122	149.6935974	130.5451708	151.4811429	16.593627164	18.878617888	19.701477824	1.7943903	2.3557988	1.2907017	24.7259458988	25.0428394477	22.0268366709	2.0420056	2.7739944	0.7852060716	166950891	166951891	166950591	166952191	166950291	166952491	0.7867110223
chr2	8615523	8616411		888	0.3635753864	0.7296512538	0.9843539084	0.4350503961	0.8114075409	3.38941	18.8724	50	0.7045782207	0.7194054616	0.7842802888	0.8025131042	0.9823798669	0.9831703807	8940.07054	6594.22356	9955.96821	1707.50915612	2252.12210339	2503.676319566	150.4579835	155.7719903	116.191097	1620.1889413156	1826.8105657136	1203.0737630928	9.1125662	9.7598338	3.313104777	8615467	8616467	8615167	8616767	8614867	8617067	1.3705177573
chr9	3548351	3549369		1018	0.4394411089	1.1376415594	0.9843439451	0.5084636576	1.1725969824	0.855364	7.89925	49	1.1379508139	1.1525922839	1.1788662925	1.1856329289	0.9840717338	0.9845662208	1597.95575	1217.683677	1703.426287	186.116625262	237.05227414	256.579245182	24.6624962	26.6689355	19.3955897	273.2246220554	291.8952126052	211.7915652012	3.56061888	4.33863112	1.5646823089	3548360	3549360	3548060	3549660	3547760	3549960	0.879011488
chr14	34059872	34060756		884	0.3709752793	1.1197461899	0.9843323339	0.4307580084	1.0586735912	0.532756	3.21798	47	1.1595998873	1.1368383152	1.0854146444	1.0713497208	0.9910387222	0.9856735233	258.6312242	248.684991	260.1479494	49.697790008	52.531943544	53.677432238	3.7052742	4.0759112	2.2285353	59.7203261929	60.105100231	57.6295516934	1.79182918	1.42615082	0.6647243305	34059814	34060814	34059514	34061114	34059214	34061414	0.8930595246
chr2	26008536	26009474		938	0.3484100886	1.2561311773	0.9841715916	0.404967134	1.3414878959	0.661415	4.08022	50	1.3998528613	1.3125544336	1.4582341878	1.3886201723	0.9873531008	0.9862768369	368.981331	317.134258	383.252823	36.517169344	44.995213652	48.551362364	5.063591	6.0662822	4.010765	59.0586671681	60.9868799655	51.1186639924	2.07370156	2.00651844	0.7224985443	26008505	26009505	26008205	26009805	26007905	26010105	0.7960951994
chr21	41957072	41957991		919	0.371816569	0.8839408653	0.9840619035	0.4303845363	0.966821104	0.53542	2.81234	38	0.9050038374	0.8963613913	0.9901992577	0.9808922776	0.9850491507	0.9845783783	727.731531	655.157711	736.495492	120.891120016	134.277774218	137.886404874	11.2228004	11.7383362	9.7951642	120.3614125148	121.8834280363	109.406927528	1.32871538	1.48362462	0.4940383938	41957032	41958032	41956732	41958332	41956432	41958632	1.131297397
chr3	52238850	52239791		941	0.2996649718	0.5166166655	0.9840557442	0.3526864614	0.5776723417	0.68489	2.35905	46	0.5176263138	0.5222020005	0.5758054178	0.5805336633	0.9763358795	0.9799019879	2994.150432	2475.753978	3870.875117	1122.800377954	1356.287986656	1764.873239868	60.1764716	61.718223	58.5865405	708.2562999345	911.7629281318	581.1910208052	1.49989452	0.85915548	0.449465849	52238820	52239820	52238520	52240120	52238220	52240420	1.9356711985
chr4	6889178	6890091		913	0.3639967003	0.6339807078	0.9840190121	0.4287072351	0.7144873687	0.820553	3.65893	47	0.6637113052	0.64198326	0.7420729255	0.7226459003	0.9835188641	0.9834252536	2062.298665	1723.65953	2173.700616	584.3872007	735.249162966	778.889880372	34.1820773	34.7378832	28.407867	472.0176545253	493.8011576813	387.8643917287	1.99336662	1.66556338	0.7255788723	6889134	6890134	6888834	6890434	6888534	6890734	1.5773350634
chr12	63129651	63130550		899	0.3791481994	0.7454647003	0.983962946	0.456959177	0.7852163922	0.955086	5.85129	49	0.6717771768	0.7417471654	0.7185815453	0.7827330402	0.9818479711	0.9864384478	778.332924	489.407132	848.794977	149.925338242	207.125654468	228.46742068	10.5554026	13.6121709	8.8837324	153.6348670789	170.314397279	100.7164204559	3.59434172	2.25694828	1.362788191	63129600	63130600	63129300	63130900	63129000	63131200	1.341445141
chr6	42674196	42675075		879	0.4366477681	1.1160816603	0.9839306993	0.5165696765	1.1633479811	1.4024	11.7003	50	1.1482817248	1.1204760641	1.187948716	1.1659299391	0.9848741479	0.9839329996	2157.40445	1636.886265	2292.893262	229.68338507	309.426762172	328.563905296	34.6630182	36.8451914	24.7592996	346.7052806024	366.7041489267	263.7412335706	5.4391982	6.2611018	2.3750137541	42674136	42675136	42673836	42675436	42673536	42675736	0.8959917859
chr2	227466022	227466898		876	0.3181438425	1.3049660477	0.9836431045	0.3757043026	1.3227512214	2.38489	12.5315	50	1.2862025134	1.3349287666	1.3113554875	1.3517335956	0.9807922309	0.98337364	2421.10768	1777.99342	2555.548496	221.96700944	292.21570764	320.10709003	40.254208	41.8008397	34.151287	390.0871541667	417.728884125	285.4945254429	6.538187	5.993313	2.0800839353	227465960	227466960	227465660	227467260	227465360	227467560	0.7663034619
chr1	165915730	165916637		907	0.3457744196	0.8065083513	0.9835811585	0.4112324217	0.8615879205	0.53542	2.21704	36	0.891637127	0.8479098805	0.94960674	0.8938524577	0.9844858047	0.9854947113	169.3584906	142.187265	174.0482359	26.16638255	32.933798832	35.73666239	2.4565938	2.8576704	2.205921	27.924893432	28.8219166657	23.3309181601	1.19140924	1.02563076	0.4119588385	165915684	165916684	165915384	165916984	165915084	165917284	1.2399127652
chr5	39248803	39249835		1032	0.4123833699	1.1999315738	0.9832343608	0.4830475409	1.2056296273	1.07626	5.46121	49	1.1686569246	1.1717258509	1.1847775121	1.1774905976	0.9844121261	0.9834015583	2697.16247	2092.69905	3261.16371	327.441567092	443.025115164	513.076959414	44.768694	54.675494	32.620729	519.1039800145	615.6572433824	382.6668547967	2.5696394	2.8915706	1.0596765551	39248819	39249819	39248519	39250119	39248219	39250419	0.8333808542
chr2	33108391	33109320		929	0.3696390867	0.6403089033	0.9831671481	0.4384917819	0.6988573576	1.21292	10.191	50	0.6278080945	0.6370570011	0.6841219572	0.695004118	0.9821613775	0.9831488367	7194.65402	5691.2359	7566.85072	1441.32662118	1807.21313416	1883.79891165	121.23829	127.3716775	101.523809	1151.2977796686	1206.2132150904	904.8765196114	5.2643922	4.9266078	1.9459251248	33108356	33109356	33108056	33109656	33107756	33109956	1.5617462055
chr1	214439206	214440150		944	0.418254516	1.2436865513	0.9830663657	0.4892695784	1.2793378313	0.770822	5.85129	50	1.2940413533	1.2646618613	1.3261563559	1.3003525791	0.984252201	0.9838471485	911.027234	820.76153	931.802192	99.24116709	111.926739008	116.284393366	14.7156876	15.7787976	12.9251876	141.5494780865	144.6213361595	128.422174162	3.15627984	2.69501016	1.3201282967	214439178	214440178	214438878	214440478	214438578	214440778	0.8040611189
chr5	68116555	68117493		938	0.4076680065	1.4736405307	0.9829379403	0.4659136573	1.5264794195	0.856113	5.75377	50	1.4362141408	1.4924316604	1.4959597556	1.5459285874	0.9843850923	0.9832066373	1029.956296	779.512733	1100.470703	88.409432284	116.053548314	125.30054157	17.2964296	18.7762968	12.1720194	173.2019898092	184.6479565721	126.9748768239	2.96358706	2.79018294	1.2081596289	68116524	68117524	68116224	68117824	68115924	68118124	0.678591542
chr1	21453696	21454598		902	0.4278098837	0.9513849491	0.9829338689	0.4915125256	0.9978545384	0.684021	4.68012	45	0.8915937505	0.9286589194	0.9479561925	0.9797311297	0.9811249207	0.982175428	3033.18565	2314.07335	3409.874951	451.81211176	557.469005264	603.266701036	54.065236	58.1933729	43.678318	517.698564026	573.9388596824	402.8328552661	1.9229594	2.7571606	0.8226610372	21453647	21454647	21453347	21454947	21453047	21455247	1.0510992432
